,Are you on the waiting list?,Program,"Programming and Analytical Experiences [R, data manipulation and modeling]",What code/text editor do you use most?,"Programming and Analytical Experiences [R, graphic basics (base, lattice, grid etc. )]","Programming and Analytical Experiences [R, advanced (multivariate data analysis, e.g. spatiotemporal data, visualization and modeling)]",Programming and Analytical Experiences [Reproducible documentation with R (e.g. R Markdown)],"Programming and Analytical Experiences [Matlab, data manipulation, analysis, visualization and modeling]",Programming and Analytical Experiences [Github],R, Excel, SQL, RStudio, ggplot2, Python, Stata, dropbox, google drive (formerly docs), regular expressions (grep), Github, shell (terminal / command line), LaTeX, Sweave/knitr, XML, Web: html css js,Excel, C/C++,Matlab, R, SPSS, lattice,RStudio,Github,SQL,shell (terminal / command line),Python
34,False,IDSE (master),2,Sublime Text,2,1,3,2,2,False,True,True,True,False,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False
35,False,Data Science,2,vi/vim,2,1,3,1,2,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,False,IDSE (master),2,RStudio,2,1,1,2,1,False,True,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
37,False,IDSE (master),2,RStudio,1,1,1,0,0,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
38,False,Data Science Certification,2,RStudio,1,0,0,2,0,False,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
39,True,Statistics (master),2,RStudio,2,2,0,1,1,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,False,IDSE (master),2,RStudio,2,2,1,0,2,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
41,True,Statistics (master),2,RStudio,2,2,1,2,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False
42,False,IDSE (master),2,RStudio,1,1,1,2,2,False,True,False,True,True,True,False,False,True,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
43,False,IDSE (master),2,RStudio,1,1,1,2,2,False,True,False,True,True,True,False,False,True,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
44,True,Statistics (master),3,RStudio,3,2,1,1,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False
45,False,IDSE (master),1,RStudio,1,1,1,1,1,True,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,False,IDSE (master),3,RStudio,2,2,1,1,0,False,True,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
47,True,Statistics (master),2,RStudio,1,1,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,True,Statistics (master),3,RStudio,2,3,1,3,2,False,True,True,True,True,True,False,False,True,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False
49,False,IDSE (master),2,RStudio,2,2,1,1,0,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,False,IDSE (master),2,RStudio,1,1,2,1,0,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
